name,description,image_url
Alfalfa Sprouts,"Health benefits come from phytonutrients not vitamins and minerals, which are in trace amounts except for vitamin K. Nutrient quantity low if eating only a few sprouts in salads or sandwiches. More concentrated dose comes from juicing. Phytonutrients include an amino acid derivative, canavanine, plant estrogens and saponins. Early studies of canavanine suggest it may help fight leukemia and cancers of the colon and pancreas. Abundant plant estrogens may support bone formation and inhibit deterioration. May also protect against many cancers (ex. breast, bowel and prostate). Saponins lower bad cholesterol (LDL) and help stimulate parts of immune system.",https://drearth.com/wp-content/uploads/alfalfa-sprouts.jpg
Almonds,"Surprising benefit: high fat nut reduces risk of heart disease. Antioxidant Vitamin E, monounsaturated fats, fibers, other phytonutrients together reduce LDL blood cholesterol. Moderate eating (2-3 servings weekly) may help control weight. Also rich in magnesium (improves blood flow) and potassium (needed for neural firing and muscle contraction). When salt is absent, monounsaturated fats, magnesium and potassium prevent arterial plaque buildup, control blood pressure and improve heart performance. Several ounces reduce blood sugar, reducing demand on insulin-producing cells in pancreas. Also provide energy, help prevent gallstones and supply protein for building body structures. Almond skins give flavonoids with Vitamin E to enhance antioxidant action. Like all nuts, especially walnuts, promote good health. Eat a handful a day.",https://drearth.com/wp-content/uploads/Almonds-iStock-1086243460.jpg
Aloe Vera,"Used for centuries as a medical treatment. Juice from broken leaves soothes wounds, rejuvenates burns and treats rare skin conditions. Benefits of drinking juice less well known. Great for digestive tract. Helps maintain healthy tissues and promotes slower, more controlled absorption of food. Good source of essential amino acids that help replenish and build enzymes crucial to functions throughout the body. High volume of phytonutrients and vitamins. Antioxidant and antimicrobial properties help protect immune system and major organs from cellular damage. Increases blood circulation, metabolism and detoxification of blood stream.",https://drearth.com/wp-content/uploads/aloe-iStock-1250507905.jpg
Apples,"Many effective antioxidants help decrease oxidative cell damage by free radicals. Contain dietary fiber and helpful phytonutrients called flavonoids, which have many different functions. Some act as antioxidants; some help maintain blood consistency without excess clotting; others help regulate blood pressure and reduce inflammation. Fiber stimulates healthy digestion and helps moderate the bad form of cholesterol (LDL), contributing to heart health.",https://drearth.com/wp-content/uploads/apples-iStock-1338074101.jpg
Apricots,"Good source of Vitamin A and beta-carotene. Antioxidant properties prevent free radicals from oxidizing the bad form of cholesterol (LDL), a first step in forming plaque in blood vessels. One form of Vitamin A, retinol, essential to light sensitivity. Impaired night vision early sign of deficiency. Good source of dietary fiber to support digestion, elimination and regulation of blood sugar.",https://drearth.com/wp-content/uploads/Apricots-iStock-547009774.jpg
Arugula,"Tasty leaves (nutty and/or peppery flavor) contain small quantities of many phytonutrients and vitamins. 4-5 cups give moderate to large dose. Cruciferous vegetable (similar to broccoli, Brussels sprouts, bok choy) helps prevent many cancers. Most benefit comes from phytonutrients. Glucosinolates and sulforaphanes help stimulate enzymes for detoxifying and removing cell-damaging (possibly carcinogenic) chemicals. Carotenes act as antioxidants to protect skin cells, blood vessel cells and others from sun and free-radical damage. Help ward off cancer and cardiovascular problems. Source of chlorophyll, present in all plants. Limited research on this phytonutrient. Some basic studies suggest chlorophyll may protect from carcinogenic chemicals eaten or created during metabolism. More carefully controlled research is needed to confirm link between chlorophyll and reduced cancer risk. Health benefits come from synergy of all or many nutrients with regular consumption.",https://drearth.com/wp-content/uploads/arugula_iStock-1155007032.jpg
Asparagus,"Improves digestion by increasing number and health of good bacteria in large intestine that suppress harmful bacteria. Promotes overall health with wide range of nutrients. Amino acid asparagine is a natural diuretic. Used to reduce swelling; may help diminish premenstrual water retention. Contains B vitamin folate (more than 50 percent RDA), a crucial nutrient for normal fetal development during pregnancy. Helps avoid birth defects by helping DNA synthesize and replicate properly. Pyridoxine promotes heart health by lowering homocysteine levels in the blood stream.",https://drearth.com/wp-content/uploads/Asparagus_iStock-1297379091.jpg
Avocados,"Delectable fruit high in monounsaturated fats (the good ones). These lipids help reduce LDLs and raise HDLs. Also rich in beta-Sitosterol, a natural substance that lowers blood cholesterol level. High levels of potassium in avocados also can help reduce elevated blood pressure. Folate is great for circulatory health and normal neural development in fetuses. Avocados also contain the fat soluble phytonutrients carotenoids and tocopherols, potent antioxidants and anti-carcinogens.",https://drearth.com/wp-content/uploads/Avocado-iStock-1359819435.jpg
Bananas,"Excellent source and high doses of potassium, vitamin C and fiber at low cost with low sodium, fat and cholesterol. Potassium essential for nerve and muscle functions and to control blood pressure. High fiber promotes healthy heart, lowers total cholesterol, adds bulk to stool and speeds up digestive process. Fiber also helps regulate blood sugars by holding onto carbohydrates in intestine and slowing down absorption of sugar into blood system, which lowers stress on insulin-producing pancreatic cells. Special banana fiber, pectin, promotes normal digestion and nutrient absorption. Promotes stomach health by building strong inner lining and eliminating ulcer-causing bacteria. Bananas have compounds (fructooligosaccharides and short-chain fatty acids) that feed helpful intestinal bacteria.",https://drearth.com/wp-content/uploads/Bananas-iStock-1494763483.jpg
Basil,"Basil known for flavonoids (protect DNA, which creates and regulates cells) and volatile oils (antibacterial action). Some oils even halt growth of drug-resistant bacteria. Volatile oil eugenol may reduce inflammation and pain, such as in arthritis.",https://drearth.com/wp-content/uploads/Basil-iStock-1686594272.jpg
